Rank	NCT Number	Title	Status	Study Results	Conditions	Interventions	Phases	Study Type	Locations	URL
69	NCT04317092	Tocilizumab in COVID-19 Pneumonia (TOCIVID-19)	Recruiting	No Results Available	COVID-19 Pneumonia	Drug: Tocilizumab Injection	Phase 2	Interventional	"Azienda Ospedaliera ""SS. Antonio e Biagio e C. Arrigo"" (Dipartimento Internistico SSD Reumatologia), Alessandria, Italy|Ospedale di Busto Arsizio ASST Valle Olona (U.O.C. Malattie Infettive), Busto Arsizio, Italy|A.O.U. Policlinico V. Emanuele (U.O. di Malattie infettive, U.O. di Anestesia e Rianimazione, U.O. di Medicina d'Urgenza), Catania, Italy|AOE Cannizzaro di Catania (U.O. di Malattie Infettive, U.O. di Anestesia e Rianimazione, U.O., Catania, Italy|Ospedale Annunziata Azienda Ospedaliera di Cosenza (U.O.C. Malattie Infettive), Cosenza, Italy|ASST OVEST MILANESE presidi Legnano - Magenta, Magenta, Italy|Azienda Ospedaliero-Universitaria di Modena, Modena, Italy|A.O.U. di Modena (Dipartimento Chirurgie Generali e Specialità Chirurgiche - Struttura Complessa di Anestesia e Rianimazione I), Modena, Italy|A.O.U. di Modena (Dipartimento Chirurgie Generali e Specialità Chirurgiche - Struttura Complessa di Anestesia e Rianimazione II), Modena, Italy|A.O.U. di Modena (Dipartimento Medicine Specialistiche - Struttura Complessa Malattie Infettive), Modena, Italy|Dipartimento Medicine Specialistiche - Struttura Complessa Malattie dell'Apparato Respiratorio, Modena, Italy|A.O.R.N. Ospedale dei Colli Monaldi-Cotugno-CTO (U.O.C. Oncologia), Naples, Italy|National Cancer Institute, Naples, Italy|A.O.R.N. Ospedale dei Colli Monaldi-Cotugno-CTO (U.O.C. Anestesia Rianimazione e terapia intensiva), Naples, Italy|A.O.R.N. Ospedale dei Colli Monaldi-Cotugno-CTO (U.O.C. Malattie Infettive ad indirizzo respiratorio), Naples, Italy|A.O. Ospedali Riuniti Marche Nord - Presidio Ospedaliero San Salvatore di Pesaro (UOC Pronto Soccorso e Medicina d'Urgenza), Pesaro, Italy|Denominazione: UOC di Medicina e Chirurgia d'Accettazione e d'Urgenza dell'Ospedale Santa Maria delle Grazie di Pozzuoli, Pozzuoli, Italy|Ospedale Santa Maria delle Croci, AUSL della Romagna (U.O. Anestesia e Rianimazione), Ravenna, Italy|Grande Ospedale Metropolitano, Reggio Calabria, Reggio Calabria, Italy|Ospedale Infermi, AUSL della Romagna (U.O. Malattie Infettive), Rimini, Italy|Policlinico Gemelli (U.O.C. Dipartimento Scienze di Laboratorio e Infettivologiche), Rome, Italy|ASST Sette Laghi (Dipartimento di Medicina Interna), Varese, Italy|ASST Sette Laghi (Dipartimento Emergenze ed Urgenze), Varese, Italy|ASST Sette Laghi (U.O.C. Anestesia e Rianimazione Neurochirurgica e Generale), Varese, Italy|ASST Sette Laghi (U.O.C. Malattie Infettive e Tropicali), Varese, Italy|A.O.U. Integrata di Verona (Dip. Malattie Infettive), Verona, Italy|Ospedale Magalini (U.O. Malattie Infettive), Villafranca Di Verona, Italy"	https://ClinicalTrials.gov/show/NCT04317092
70	NCT04364022	Efficacy of Pragmatic Same-day COVID-19 Ring Prophylaxis for Adult Individuals Exposed to SARS-CoV-2 in Switzerland	Recruiting	No Results Available	Prevention of COVID-19	Drug: Hydroxychloroquine Sulfate 200 MG [Plaquenil]|Drug: Lopinavir/ritonavir	Phase 3	Interventional	"Universitätsspital Basel and SwissTPH, Basel, Switzerland|Hôpitaux Universitaires de Genève, Geneva, Switzerland"	https://ClinicalTrials.gov/show/NCT04364022
71	NCT04432324	Study to Evaluate the Safety and Efficacy of High Dose IVIG in Hospitalized Participants With Coronavirus Disease (COVID-19)	Not yet recruiting	No Results Available	COVID-19	Biological: Intravenous Immune Globulin|Drug: Standard Medical Treatment	Phase 2	Interventional	"Hospital Germans Trias i Pujol, Badalona, Spain|Hospital Universitari Vall d'Hebron, Barcelona, Spain|Hospital Universitari de Bellvitge, Barcelona, Spain|Hospital de la Santa Creu i Sant Pau, Barcelona, Spain|Hospital General Universitario Gregorio Marañón, Madrid, Spain|Hospital Clinico San Carlos, Madrid, Spain"	https://ClinicalTrials.gov/show/NCT04432324
72	NCT04348071	Safety and Efficacy of Ruxolitinib for COVID-19	Not yet recruiting	No Results Available	COVID-19	Drug: Ruxolitinib	Phase 2|Phase 3	Interventional		https://ClinicalTrials.gov/show/NCT04348071
73	NCT04340232	Safety and Efficacy of Baricitinib for COVID-19	Not yet recruiting	No Results Available	COVID-19	Drug: Baricitinib	Phase 2|Phase 3	Interventional	"University of Colorado, Denver, Aurora, Colorado, United States"	https://ClinicalTrials.gov/show/NCT04340232
74	NCT04359615	Favipiravir in Hospitalized COVID-19 Patients	Not yet recruiting	No Results Available	COVID-19	Drug: Favipiravir|Drug: Hydroxychloroquine	Phase 4	Interventional	"Shahid Modarres Hospital, Shahid Beheshti University of Medical Sciences and Health Services, Tehran, Iran, Islamic Republic of"	https://ClinicalTrials.gov/show/NCT04359615
75	NCT04321993	Treatment of Moderate to Severe Coronavirus Disease (COVID-19) in Hospitalized Patients	Recruiting	No Results Available	COVID-19	Drug: Lopinavir/ritonavir|Drug: Hydroxychloroquine sulfate|Drug: Baricitinib (janus kinase inhibitor)	Phase 2	Interventional	"Nova Scotia Health Authority, Halifax, Nova Scotia, Canada"	https://ClinicalTrials.gov/show/NCT04321993
76	NCT04359316	Azithromycin in Hospitalized COVID-19 Patients	Not yet recruiting	No Results Available	COVID-19	Drug: Hydroxychloroquine|Drug: Azithromycin	Phase 4	Interventional	"Shahid Modarres Hospital, Shahid Beheshti University of Medical Sciences and Health Services, Tehran, Iran, Islamic Republic of"	https://ClinicalTrials.gov/show/NCT04359316
77	NCT04428008	Thymosin Alpha 1 to Prevent COVID-19 Infection in Elderly Renal Dialysis Patients	Not yet recruiting	No Results Available	COVID-19	Drug: Thymalfasin	Phase 2	Interventional		https://ClinicalTrials.gov/show/NCT04428008
78	NCT04364828	NGS Diagnostic in COVID-19 Hosts - Genetic Cause Relating to the Course of Disease Progression	Not yet recruiting	No Results Available	COVID-19	Genetic: Whole Genome Analysis|Genetic: T-cell receptor (TCR) repertoire|Genetic: SARS-CoV-2 viral composition	Not Applicable	Interventional		https://ClinicalTrials.gov/show/NCT04364828
79	NCT04343768	"An Investigation Into Beneficial Effects of Interferon Beta 1a, Compared to Interferon Beta 1b And The Base Therapeutic Regiment in Moderate to Severe COVID-19: A Randomized Clinical Trial"	Completed	No Results Available	COVID-19	Drug: Hydroxychloroquine|Drug: Lopinavir / Ritonavir|Drug: Interferon Beta-1A|Drug: Interferon Beta-1B	Phase 2	Interventional	"Loghman Hakim Hospital, Shahid Beheshti University of Medical Sciences and Health Services, Tehran, Iran, Islamic Republic of"	https://ClinicalTrials.gov/show/NCT04343768
80	NCT04364815	The University of the Philippines Hydroxychloroquine PEP Against COVID-19 Trial	Not yet recruiting	No Results Available	COVID-19	Drug: Hydroxychloroquine plus standard preventive measures|Drug: Placebo plus standard preventive measures	Phase 3	Interventional		https://ClinicalTrials.gov/show/NCT04364815
81	NCT04358835	Keto-diet for Intubated Critical Care COVID-19	Not yet recruiting	No Results Available	COVID-19	Dietary Supplement: Ketogenic diet|Other: standard of care	Not Applicable	Interventional		https://ClinicalTrials.gov/show/NCT04358835
82	NCT04329832	Hydroxychloroquine vs. Azithromycin for Hospitalized Patients With Suspected or Confirmed COVID-19	Recruiting	No Results Available	COVID-19	Drug: Hydroxychloroquine|Drug: Azithromycin	Phase 2	Interventional	"Intermountain Medical Center, Murray, Utah, United States|University of Utah, Salt Lake City, Utah, United States"	https://ClinicalTrials.gov/show/NCT04329832
83	NCT04388410	Safety and Efficacy of Convalescent Plasma Transfusion for Patients With COVID-19	Not yet recruiting	No Results Available	COVID-19	Biological: convalescent plasma	Phase 2|Phase 3	Interventional		https://ClinicalTrials.gov/show/NCT04388410
84	NCT04401579	Adaptive COVID-19 Treatment Trial 2 (ACTT-II)	Recruiting	No Results Available	COVID-19	Other: Placebo|Drug: Remdesivir|Drug: Baricitinib	Phase 3	Interventional	"University of Alabama at Birmingham School of Medicine - Infectious Disease, Birmingham, Alabama, United States|University of California San Diego Health - Jacobs Medical Center, La Jolla, California, United States|University of California Los Angeles Medical Center - Westwood Clinic, Los Angeles, California, United States|University of California Irvine Medical Center - Infectious Disease, Orange, California, United States|VA Palo Alto Health Care System - Infectious Diseases, Palo Alto, California, United States|Stanford University - Stanford Hospital and Clinics - Pediatrics - Infectious Diseases, Palo Alto, California, United States|University of California Davis Medical Center - Internal Medicine - Infectious Disease, Sacramento, California, United States|Naval Medical Center San Diego - Infectious Disease Clinic, San Diego, California, United States|University of California San Francisco - Zuckerberg San Francisco General Hospital - Division of Human Immunodeficiency Virus, Infectious Disease, and Global Medicine, San Francisco, California, United States|Cedars Sinai Medical Center, West Hollywood, California, United States|Rocky Mountain Regional Veteran Affairs Medical Center - Department of Infectious Diseases, Aurora, Colorado, United States|Denver Health Division of Hospital Medicine - Main Campus, Denver, Colorado, United States|Georgetown University Medical Center - Division of Infectious Diseases, Washington, District of Columbia, United States|University of Florida Health - Shands Hospital - Division of Infectious Diseases and Global Medicine, Gainesville, Florida, United States|University of Miami Miller School of Medicine - Infectious Diseases, Miami, Florida, United States|Emory Vaccine Center - The Hope Clinic, Decatur, Georgia, United States|Atlanta VA Medical Center - Infectious Diseases Clinic, Decatur, Georgia, United States|Northwestern Hospital - Infectious Disease, Chicago, Illinois, United States|University of Illinois at Chicago College of Medicine - Division of Infectious Diseases, Chicago, Illinois, United States|Indiana University School of Medicine - Infectious Diseases, Indianapolis, Indiana, United States|Ochsner Medical Center - Kenner - Department of Infectious Diseases, Kenner, Louisiana, United States|Southeast Louisiana Veterans Health Care System (SLVHCS) - Section of Infectious Diseases, New Orleans, Louisiana, United States|University of Maryland School of Medicine - Center for Vaccine Development - Baltimore, Baltimore, Maryland, United States|Johns Hopkins Hospital - Medicine - Infectious Diseases, Baltimore, Maryland, United States|Walter Reed National Military Medical Center, Bethesda, Maryland, United States|National Institutes of Health - Clinical Center, National Institute of Allergy and Infectious Diseases Laboratory Of Immunoregulation, Clinical Research Section, Bethesda, Maryland, United States|Massachusetts General Hospital - Infectious Diseases, Boston, Massachusetts, United States|University of Massachusetts Medical School - Infectious Diseases and Immunology, Worcester, Massachusetts, United States|University of Minnesota Medical Center, Fairview - Infectious Diseases and International Medicine, Minneapolis, Minnesota, United States|Saint Louis University - Center for Vaccine Development, Saint Louis, Missouri, United States|University of Nebraska Medical Center - Infectious Diseases, Omaha, Nebraska, United States|University of New Mexico Clinical and Translational Science Center, Albuquerque, New Mexico, United States|Montefiore Medical Center - Infectious Diseases, Bronx, New York, United States|New York University School of Medicine - Langone Medical Center - Microbiology - Parasitology, New York, New York, United States|University of Rochester Medical Center - Vaccine Research Unit, Rochester, New York, United States|Duke Human Vaccine Institute - Duke Vaccine and Trials Unit, Durham, North Carolina, United States|Penn State Health Milton S. Hershey Medical Center - Division of Infectious Diseases, Hershey, Pennsylvania, United States|University of Pennsylvania Perelman School of Medicine - Penn Institute for Immunology, Philadelphia, Pennsylvania, United States|Vanderbilt University Medical Center - Infectious Diseases, Nashville, Tennessee, United States|University of Texas Southwestern Medical Center - Internal Medicine - Infectious Diseases, Dallas, Texas, United States|Brooke Army Medical Center, Fort Sam Houston, Texas, United States|University of Texas Medical Branch - Division of Infectious Disease, Galveston, Texas, United States|Baylor College of Medicine - Molecular Virology and Microbiology, Houston, Texas, United States|University of Texas Health Science Center at San Antonio - Infectious Diseases, San Antonio, Texas, United States|University of Virginia - Acute Care Surgery, Charlottesville, Virginia, United States|Naval Medical Center Portsmouth - Infectious Disease Division, Portsmouth, Virginia, United States|EvergreenHealth Infectious Disease Service, Kirkland, Washington, United States|Providence Sacred Heart Medical Center, Spokane, Washington, United States|Madigan Army Medical Center - Infectious Disease Clinic, Tacoma, Washington, United States|National Center for Global Health and Medicine Hospital - Disease Control and Prevention Center, Tokyo, Japan|Seoul National University Bundang Hospital - Division of Infectious Diseases, Bundang-gu Seongnam-si, Korea, Republic of|Seoul National University Hospital, Seoul, Korea, Republic of|Instituto Nacional de Ciencias Medicas y Nutrición Salvador Zubirán - Departamento de Infectologia, Mexico City, Mexico|Instituto Nacional de Enfermedades Respiratorias (INER) - Ismael Cosío Villegas, Mexico City, Mexico|National University Health System - Division of Infectious Diseases, Singapore, Singapore|National Centre for Infectious Diseases (NCID), Singapore, Singapore|Changi General Hospital - Clinical Trials and Research Unit (CTRU), Singapore, Singapore|Ng Teng Fong General Hospital - Infectious Disease Service, Singapore, Singapore"	https://ClinicalTrials.gov/show/NCT04401579
85	NCT04280705	Adaptive COVID-19 Treatment Trial (ACTT)	Recruiting	No Results Available	COVID-19	Other: Placebo|Drug: Remdesivir	Phase 3	Interventional	"University of Alabama at Birmingham School of Medicine - Infectious Disease, Birmingham, Alabama, United States|University of California San Diego Health - Jacobs Medical Center, La Jolla, California, United States|University of California Los Angeles Medical Center - Westwood Clinic, Los Angeles, California, United States|University of California Irvine Medical Center - Infectious Disease, Orange, California, United States|VA Palo Alto Health Care System - Infectious Diseases, Palo Alto, California, United States|Stanford University - Stanford Hospital and Clinics - Pediatrics - Infectious Diseases, Palo Alto, California, United States|University of California Davis Medical Center - Internal Medicine - Infectious Disease, Sacramento, California, United States|Naval Medical Center San Diego - Infectious Disease Clinic, San Diego, California, United States|University of California San Francisco - Zuckerberg San Francisco General Hospital - Division of Human Immunodeficiency Virus, Infectious Disease, and Global Medicine, San Francisco, California, United States|Cedars Sinai Medical Center, West Hollywood, California, United States|Denver Health Division of Hospital Medicine - Main Campus, Denver, Colorado, United States|Emory Vaccine Center - The Hope Clinic, Decatur, Georgia, United States|Northwestern Hospital - Infectious Disease, Chicago, Illinois, United States|University of Illinois at Chicago College of Medicine - Division of Infectious Diseases, Chicago, Illinois, United States|Southeast Louisiana Veterans Health Care System (SLVHCS) - Section of Infectious Diseases, New Orleans, Louisiana, United States|University of Maryland School of Medicine - Center for Vaccine Development - Baltimore, Annapolis, Maryland, United States|Johns Hopkins Hospital - Medicine - Infectious Diseases, Baltimore, Maryland, United States|Walter Reed National Military Medical Center, Bethesda, Maryland, United States|National Institutes of Health - Clinical Center, National Institute of Allergy and Infectious Diseases Laboratory Of Immunoregulation, Clinical Research Section, Bethesda, Maryland, United States|Massachusetts General Hospital - Infectious Diseases, Boston, Massachusetts, United States|University of Massachusetts Medical School - Infectious Diseases and Immunology, Worcester, Massachusetts, United States|University of Minnesota Medical Center, Fairview - Infectious Diseases and International Medicine, Minneapolis, Minnesota, United States|Saint Louis University - Center for Vaccine Development, Saint Louis, Missouri, United States|University of Nebraska Medical Center - Infectious Diseases, Omaha, Nebraska, United States|Montefiore Medical Center - Infectious Diseases, Bronx, New York, United States|New York University School of Medicine - Langone Medical Center - Microbiology - Parasitology, New York, New York, United States|University of Rochester Medical Center - Vaccine Research Unit, Rochester, New York, United States|Duke Human Vaccine Institute - Duke Vaccine and Trials Unit, Durham, North Carolina, United States|Penn State Health Milton S. Hershey Medical Center - Division of Infectious Diseases, Hershey, Pennsylvania, United States|Hospital of the University of Pennsylvania - Infectious Diseases, Philadelphia, Pennsylvania, United States|Vanderbilt University Medical Center - Infectious Diseases, Nashville, Tennessee, United States|Brooke Army Medical Center, Fort Sam Houston, Texas, United States|University of Texas Medical Branch - Division of Infectious Disease, Galveston, Texas, United States|Baylor College of Medicine - Molecular Virology and Microbiology, Houston, Texas, United States|University of Texas Health Science Center at San Antonio - Infectious Diseases, San Antonio, Texas, United States|University of Virginia - Acute Care Surgery, Charlottesville, Virginia, United States|Naval Medical Center Portsmouth - Infectious Disease Division, Portsmouth, Virginia, United States|EvergreenHealth Infectious Disease Service, Kirkland, Washington, United States|The University of Washington - Virology Research Clinic, Seattle, Washington, United States|Providence Sacred Heart Medical Center, Spokane, Washington, United States|Madigan Army Medical Center - Infectious Disease Clinic, Tacoma, Washington, United States|University of Copenhagen - Centre of Excellence for Health, Immunity and Infections (CHIP) - Department of Infectious Diseases, Copenhagen, Denmark|Universitatsklinikum Bonn, Medizinische Klinik I - Bereich Infektiologie/HIV der Medizinischen Klinik, Bonn, Nordrhein-Westfalen, Germany|Universitatsklinikum Koeln Klinik I fur Innere Medizin Klinisches Studienzentrum fur Infektiologie I, Cologne, Germany|Universitätsklinikum Frankfurt -Medizinische Klinik II - Infektiologie, Frankfurt, Germany|AHEPA University Hospital - 1st Department of Internal Medicine, Thessaloniki, Central Macedonia, Greece|Medical School of Athens University - Evangelismos Hospital - Department of Critical Care and Pulmonary Services, Athens, Greece|National Center for Global Health and Medicine Hospital - Disease Control and Prevention Center, Tokyo, Japan|Seoul National University Bundang Hospital - Division of Infectious Diseases, Bundang-gu Seongnam-si, Gyeonggi-do, Korea, Republic of|Seoul National University Hospital, Seoul, Jongno-gu, Korea, Republic of|Instituto Nacional de Ciencias Medicas y Nutrición Salvador Zubirán - Departamento de Infectologia, Mexico City, Mexico|Instituto Nacional de Enfermedades Respiratorias (INER) - Ismael Cosío Villegas, Mexico City, Mexico|National Centre for Infectious Diseases (NCID), Singapore, Singapore|Hospital Clinic Barcelona, Servicio de Salud Internacional, Barcelona, Cataluña, Spain|Hospital Germans Trias i Pujol - Servei Malalties Infeccioses, Barcelona, Cataluña, Spain|Royal Sussex County Hospital - Department of Intensive Care Medicine, East Sussex, Brighton, United Kingdom|Saint Thomas' Hospital - Directorate of Infection, London, London, City Of, United Kingdom|Royal Victoria Infirmary - Department of Infectious Diseases, Level 6, Ward 19, Newcastle Upon Tyne, United Kingdom|St. James's University Hospital - Infectious Diseases, Leeds, West Yorkshire, United Kingdom|John Radcliffe Hospital, Headington, Oxford, United Kingdom"	https://ClinicalTrials.gov/show/NCT04280705
